title,url,replies,views,cleaned_title,sentiment
Special counsel Jack Smith drops election subversion case against Donald Trump! 🎯🎯🎯,https://debatepolitics.com/threads/special-counsel-jack-smith-drops-election-subversion-case-against-donald-trump-%F0%9F%8E%AF%F0%9F%8E%AF%F0%9F%8E%AF.556024/,29,223,special counsel jack smith drop election subversion case donald_trump,0.35714285714285715
Trump Gets HUMILIATED on Capitol Hill with BAD NEWS,https://debatepolitics.com/threads/trump-gets-humiliated-on-capitol-hill-with-bad-news.555794/,43,557,trump get humiliated capitol hill bad news,-0.6999999999999998
DNC: For thee not for me...,https://debatepolitics.com/threads/dnc-for-thee-not-for-me.556098/,26,238,dnc thee,0.0
Keith Kellogg To SA To POTUS/Russia-Ukraine Envoy,https://debatepolitics.com/threads/keith-kellogg-to-sa-to-potus-russia-ukraine-envoy.556168/,1,57,keith kellogg sa potusrussiaukraine envoy,0.0
The Libertarian Candidate received only 0.42% of the vote,https://debatepolitics.com/threads/the-libertarian-candidate-received-only-0-42-of-the-vote.556094/,6,132,libertarian candidate received vote,0.0
Trump AG Pick Pam Bondi Is About to Regret What She Just Signed Up For,https://debatepolitics.com/threads/trump-ag-pick-pam-bondi-is-about-to-regret-what-she-just-signed-up-for.555950/,69,588,trump ag pick pam bondi regret signed,0.0
Major Democrat Mega donor spills the beans on the Harris campaign.,https://debatepolitics.com/threads/major-democrat-mega-donor-spills-the-beans-on-the-harris-campaign.556095/,5,124,major democrat mega donor spill bean harris campaign,0.0625
Trump's deportation push gets boost from border state with massive plot of land,https://debatepolitics.com/threads/trumps-deportation-push-gets-boost-from-border-state-with-massive-plot-of-land.555605/,524,4K,trump deportation push get boost border state massive plot land,0.0
Trump's transition team turns to Project 2025 after disavowing it during the campaign,https://debatepolitics.com/threads/trumps-transition-team-turns-to-project-2025-after-disavowing-it-during-the-campaign.556006/,27,195,trump transition team turn project disavowing campaign,0.0
Trump accused of opening door to financial corruption as transition donors kept secret,https://debatepolitics.com/threads/trump-accused-of-opening-door-to-financial-corruption-as-transition-donors-kept-secret.556027/,7,73,trump accused opening door financial corruption transition donor kept secret,-0.2
A List of Predictions from the Left:,https://debatepolitics.com/threads/a-list-of-predictions-from-the-left.555113/,62,512,list prediction left,0.0
"Joe Rogan explains why liberal media 'hemorrhaging' audiences: 'You're not accurate, you're delusional'",https://debatepolitics.com/threads/joe-rogan-explains-why-liberal-media-hemorrhaging-audiences-youre-not-accurate-youre-delusional.555868/,86,676,joe rogan explains liberal medium hemorrhaging audience youre accurate youre delusional,0.4000000000000001
So now the election side show has been replaced by the cabinet sideshow continuing to suck the air out of Democracy with irrelevance.,https://debatepolitics.com/threads/so-now-the-election-side-show-has-been-replaced-by-the-cabinet-sideshow-continuing-to-suck-the-air-out-of-democracy-with-irrelevance.555710/,4,134,election side show replaced cabinet sideshow continuing suck air democracy irrelevance,0.0
Brooke Rollins: Secretary of Agriculture,https://debatepolitics.com/threads/brooke-rollins-secretary-of-agriculture.555923/,0,92,brooke rollins secretary agriculture,0.0
"Kamala campaign raised over a billion, but is now $20 million in debt",https://debatepolitics.com/threads/kamala-campaign-raised-over-a-billion-but-is-now-20-million-in-debt.554613/,64,604,kamala campaign raised billion million debt,0.0
Trump lied incessantly and still won. Should others do the same? The decline of MSM opens the door for it.,https://debatepolitics.com/threads/trump-lied-incessantly-and-still-won-should-others-do-the-same-the-decline-of-msm-opens-the-door-for-it.555873/,37,369,trump lied incessantly still others decline msm open door,0.0
THE PAIN CREATING A NEW COALITION FOR TRUMP,https://debatepolitics.com/threads/the-pain-creating-a-new-coalition-for-trump.555880/,61,558,pain creating new coalition trump,0.13636363636363635
Trump has now fallen below 50% US-wide.,https://debatepolitics.com/threads/trump-has-now-fallen-below-50-us-wide.555342/,185,2K,trump fallen uswide,0.0
Trump said he'd end the war in Ukraine even before he took office. Performance is about outcomes. He's got 2 months to avoid campaign fraud.,https://debatepolitics.com/threads/trump-said-hed-end-the-war-in-ukraine-even-before-he-took-office-performance-is-about-outcomes-hes-got-2-months-to-avoid-campaign-fraud.555764/,18,228,trump said hed end war ukraine even took office performance outcome he got month avoid campaign fraud,0.0
